Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
4,13.76,13.76,3,13.67,13.67,2,13.65,13.65,1,13.51,13.51
1,9.48,23.24,4,10.02,23.69,3,9.83,23.48,2,9.93,23.44
1,9.68,32.93,4,9.62,33.32,3,9.70,33.19,2,9.58,33.03
1,9.53,42.47,4,9.42,42.75,3,9.44,42.63,2,9.53,42.56
2,9.58,52.05,4,9.55,52.30,3,9.54,52.18,1,9.48,52.05
2,9.77,1:01.82,4,9.69,1:01.99,3,9.74,1:01.92,1,9.69,1:01.74
1,9.57,1:11.40,3,9.60,1:11.59,4,9.75,1:11.68,2,9.80,1:11.55
1,9.72,1:21.13,3,9.74,1:21.34,4,9.88,1:21.56,2,9.68,1:21.23
3,10.08,1:31.204,2,9.82,1:31.153,4,9.99,1:31.546,1,9.84,1:31.062
