BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME
5,11.86,11.86,7,12.14,12.14,6,11.97,11.97,4,11.69,11.69,3,11.48,11.48,2,11.44,11.44,1,11.10,11.10
5,13.23,25.09,7,13.26,25.40,6,13.29,25.26,4,13.22,24.91,3,13.26,24.74,2,13.13,24.57,1,13.27,24.37
5,11.87,36.96,7,11.89,37.29,6,11.90,37.16,4,11.89,36.80,3,11.87,36.61,2,11.92,36.49,1,11.96,36.33
5,11.52,48.48,7,11.49,48.78,6,11.50,48.66,4,11.53,48.33,3,11.53,48.14,2,11.51,48.00,1,11.54,47.87
5,10.90,59.38,7,10.91,59.69,6,10.91,59.57,4,11.01,59.34,3,11.02,59.16,2,11.04,59.04,1,11.06,58.93
4,10.83,1:10.21,7,10.88,1:10.57,6,10.89,1:10.46,5,10.98,1:10.32,3,10.95,1:10.11,2,10.97,1:10.01,1,10.97,1:09.90
3,10.75,1:20.96,6,10.55,1:21.12,7,10.77,1:21.23,5,10.70,1:21.02,4,10.90,1:21.01,2,10.80,1:20.81,1,10.81,1:20.71
3,9.92,1:30.88,4,9.92,1:31.04,6,9.85,1:31.08,5,10.03,1:31.05,7,10.22,1:31.23,1,9.91,1:30.72,2,10.13,1:30.84
3,9.57,1:40.45,6,9.67,1:40.71,2,9.29,1:40.37,7,9.83,1:40.88,4,9.24,1:40.47,1,9.62,1:40.34,5,9.75,1:40.59
4,9.39,1:49.84,6,9.38,1:50.09,1,9.12,1:49.49,6,9.21,1:50.09,3,9.23,1:49.70,2,9.24,1:49.58,5,9.40,1:49.99
4,9.24,1:59.08,7,9.58,1:59.67,2,9.39,1:58.88,6,9.44,1:59.53,3,9.26,1:58.96,1,9.19,1:58.77,5,9.45,1:59.44
4,9.36,2:08.44,7,9.49,2:09.16,3,9.47,2:08.35,5,9.29,2:08.82,2,9.26,2:08.22,1,9.25,2:08.02,6,9.60,2:09.04
4,9.69,2:18.13,7,9.60,2:18.76,3,9.68,2:18.03,5,9.45,2:18.27,2,9.57,2:17.79,1,9.33,2:17.35,6,9.71,2:18.75
0,10.20,2:28.33,6,9.61,2:28.370,3,9.88,2:27.91,4,9.77,2:28.04,2,9.84,2:27.63,1,9.45,2:26.80,7,9.82,2:28.579
