Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
1,7.41,7.41,2,7.49,7.49,3,7.60,7.60,4,7.90,7.90
1,9.65,17.06,2,9.65,17.14,3,9.66,17.26,4,9.68,17.58
2,9.28,26.34,1,9.10,26.24,3,9.13,26.39,4,9.30,26.88
2,9.56,35.90,1,9.40,35.64,3,9.62,36.01,4,9.34,36.22
2,9.55,45.449,1,9.39,45.026,3,9.54,45.545,4,9.36,45.576
