Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME
1,13.50,13.50,2,13.64,13.64,3,13.74,13.74,4,13.85,13.85
1,10.55,24.05,2,10.51,24.15,3,10.52,24.26,4,10.61,24.46
1,10.40,34.45,2,10.48,34.63,4,10.48,34.74,3,10.23,34.69
1,9.54,43.99,4,9.82,44.45,3,9.51,44.25,2,9.43,44.12
1,9.44,53.43,4,9.35,53.80,3,9.46,53.71,2,9.47,53.59
1,9.36,1:02.79,4,9.38,1:03.18,3,9.37,1:03.08,2,9.49,1:03.08
1,9.39,1:12.18,3,9.67,1:12.85,2,9.26,1:12.34,4,10.83,1:13.91
1,9.72,1:21.90,3,9.97,1:22.82,2,9.63,1:21.97,4,12.04,1:25.95
2,9.88,1:31.780,0,,PEN,1,9.68,1:31.644,0,,PEN
