Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Dmitry MYASNIKOV POSITION,Dmitry MYASNIKOV LAP TIME,Dmitry MYASNIKOV ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Kota AKIMOTO POSITION,Kota AKIMOTO LAP TIME,Kota AKIMOTO ELAPSED TIME,Rei TOYOFUKU POSITION,Rei TOYOFUKU LAP TIME,Rei TOYOFUKU ELAPSED TIME,Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
3,14.26,14.26,4,14.54,14.54,8,15.17,15.17,2,14.13,14.13,5,14.85,14.85,6,15.01,15.01,9,15.30,15.30,10,15.52,15.52,7,15.07,15.07,1,13.55,13.55
3,10.19,24.45,4,10.01,24.55,8,9.82,24.99,2,10.26,24.39,5,9.79,24.64,7,9.81,24.82,9,9.76,25.06,10,9.63,25.15,6,9.65,24.72,1,9.21,22.76
3,10.17,34.62,5,10.39,34.94,8,10.31,35.30,4,10.45,34.84,6,10.43,35.07,7,10.33,35.15,9,10.34,35.40,10,10.40,35.55,2,9.85,34.57,1,9.14,31.90
4,10.45,45.07,3,9.78,44.72,8,10.31,45.61,5,10.38,45.22,6,10.27,45.34,7,10.32,45.47,9,10.35,45.75,10,10.37,45.92,2,9.48,44.05,1,9.20,41.10
4,9.30,54.37,3,9.20,53.92,8,9.32,54.93,5,9.28,54.50,6,9.33,54.67,7,9.29,54.76,9,9.30,55.05,10,9.60,55.52,2,9.54,53.59,1,9.60,50.70
4,9.55,1:03.92,3,9.83,1:03.75,8,9.48,1:04.41,5,9.55,1:04.05,6,9.51,1:04.18,7,9.50,1:04.26,9,9.44,1:04.49,10,9.51,1:05.03,2,10.05,1:03.64,1,10.17,1:00.87
4,11.04,1:14.96,3,11.11,1:14.86,10,11.25,1:15.66,6,11.16,1:15.21,5,10.89,1:15.07,7,11.05,1:15.31,8,10.92,1:15.41,9,10.47,1:15.50,2,11.12,1:14.76,1,10.71,1:11.58
3,12.17,1:27.13,2,12.19,1:27.05,10,12.19,1:27.85,4,11.95,1:27.16,5,12.17,1:27.24,6,12.04,1:27.35,8,12.10,1:27.51,9,12.15,1:27.65,7,12.68,1:27.44,1,11.19,1:22.77
2,12.89,1:40.02,4,13.20,1:40.25,10,13.02,1:40.87,3,12.98,1:40.14,5,13.13,1:40.37,6,13.10,1:40.45,8,13.09,1:40.60,9,13.05,1:40.70,7,13.04,1:40.48,1,11.34,1:34.11
2,11.31,1:51.33,4,11.31,1:51.56,10,11.58,1:52.45,3,11.31,1:51.45,5,11.31,1:51.68,6,11.34,1:51.79,8,11.51,1:52.11,9,11.59,1:52.29,7,11.47,1:51.95,1,10.80,1:44.91
