MILOVANOV Sergei POSITION,MILOVANOV Sergei LAP TIME,MILOVANOV Sergei ELAPSED TIME,PARK Jang Hyuk POSITION,PARK Jang Hyuk LAP TIME,PARK Jang Hyuk ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,Aaron HEO POSITION,Aaron HEO LAP TIME,Aaron HEO ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME
3,14.78,14.78,4,14.87,14.87,1,14.64,14.64,5,14.98,14.98,2,14.73,14.73
3,10.76,25.54,4,10.79,25.66,1,10.77,25.41,5,10.83,25.81,2,10.73,25.46
2,10.08,35.62,4,10.25,35.91,1,10.19,35.60,5,10.25,36.06,3,10.30,35.76
1,9.40,45.02,4,9.37,45.28,2,9.47,45.07,5,9.35,45.41,3,9.37,45.13
1,9.27,54.29,4,9.35,54.63,3,9.45,54.52,5,9.35,54.76,2,9.27,54.40
1,9.19,1:03.48,3,8.98,1:03.61,4,9.20,1:03.72,5,8.97,1:03.73,2,9.17,1:03.57
2,9.16,1:12.64,1,8.85,1:12.46,5,9.35,1:13.07,4,9.19,1:12.92,3,9.18,1:12.75
2,9.22,1:21.86,1,8.91,1:21.37,5,9.52,1:22.59,4,9.32,1:22.24,3,9.37,1:22.12
2,9.58,1:31.44,1,9.53,1:30.90,5,10.32,1:32.885,4,9.74,1:31.964,3,9.53,1:31.645
