Sebastian Fidel LENCINAS POSITION,Sebastian Fidel LENCINAS LAP TIME,Sebastian Fidel LENCINAS ELAPSED TIME,Thibault METRAUX POSITION,Thibault METRAUX LAP TIME,Thibault METRAUX ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME,Lubomir KALCHEV POSITION,Lubomir KALCHEV LAP TIME,Lubomir KALCHEV ELAPSED TIME
3,19.04,,4,19.21,19.21,2,18.88,18.88,1,18.63,18.63
3,15.88,,4,15.81,35.02,2,15.84,34.72,1,15.89,34.52
3,13.94,,4,14.22,49.24,2,13.97,48.69,1,13.95,48.47
4,11.54,,3,11.06,1:00.30,2,11.56,1:00.25,1,11.76,1:00.23
3,9.58,,4,9.89,1:10.19,1,9.42,1:09.67,2,9.65,1:09.88
3,9.30,,4,9.28,1:19.47,1,9.39,1:19.06,2,9.32,1:19.20
3,9.46,,4,9.44,1:28.91,1,9.45,1:28.51,2,9.45,1:28.65
3,9.46,,4,9.49,1:38.40,2,9.65,1:38.16,1,9.43,1:38.08
2,9.55,,2,9.68,1:48.081,3,10.02,1:48.182,1,9.34,1:47.421
