Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Robin van STEEN POSITION,Robin van STEEN LAP TIME,Robin van STEEN ELAPSED TIME
6,9.95,9.95,4,9.47,9.47,5,9.66,9.66,2,9.31,9.31,3,9.32,9.32,1,9.18,9.18
1,13.17,23.12,6,14.30,23.77,2,13.59,23.25,4,14.16,23.47,5,14.34,23.66,3,14.17,23.35
3,12.44,35.56,1,11.67,35.44,2,12.24,35.49,4,12.18,35.65,6,12.15,35.81,5,12.43,35.78
5,11.63,47.19,1,11.48,46.92,2,11.54,47.03,3,11.49,47.14,4,11.35,47.16,6,11.53,47.31
4,11.79,58.98,2,11.85,58.77,1,11.68,58.71,5,11.85,58.99,6,12.01,59.17,3,11.56,58.87
6,11.48,1:10.46,3,11.48,1:10.25,2,11.43,1:10.14,1,11.06,1:10.05,5,11.24,1:10.41,4,11.48,1:10.35
5,10.63,1:21.09,6,10.85,1:21.10,1,10.70,1:20.84,2,10.87,1:20.92,3,10.58,1:20.99,4,10.69,1:21.04
6,10.87,1:31.96,1,10.07,1:31.17,2,10.48,1:31.32,3,10.50,1:31.42,4,10.63,1:31.62,5,10.60,1:31.64
6,10.15,1:42.11,3,10.50,1:41.67,1,10.14,1:41.46,2,10.21,1:41.63,4,10.26,1:41.88,5,10.35,1:41.99
6,10.19,1:52.30,5,10.50,1:52.17,1,10.12,1:51.58,2,10.05,1:51.68,3,10.02,1:51.90,4,10.09,1:52.08
5,10.10,2:02.40,6,10.26,2:02.43,1,9.98,2:01.56,2,9.97,2:01.65,3,9.94,2:01.84,4,9.98,2:02.06
6,10.25,2:12.65,5,9.99,2:12.42,2,9.80,2:11.36,1,9.57,2:11.22,3,9.87,2:11.71,4,9.99,2:12.05
6,10.59,2:23.24,5,10.25,2:22.67,2,9.45,2:20.81,1,9.48,2:20.70,3,10.01,2:21.72,4,10.19,2:22.24
6,10.84,2:34.080,5,10.86,2:33.526,1,9.70,2:30.504,2,9.88,2:30.572,3,10.50,2:32.211,4,10.37,2:32.608
