GUO Wei POSITION,GUO Wei LAP TIME,GUO Wei ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME
1,13.763,13.763,3,14.221,14.221,2,14.135,14.135,4,14.627,14.627
1,11.328,25.091,2,10.978,25.198,3,11.160,25.295,4,11.167,25.794
2,10.362,35.453,1,10.232,35.430,3,10.225,35.520,4,10.098,35.892
3,10.094,45.546,2,10.048,45.477,1,9.657,45.177,4,9.961,45.853
1,9.229,54.775,2,9.382,54.858,3,9.864,55.040,4,9.475,55.327
2,9.423,1:04.197,1,9.299,1:04.157,3,9.197,1:04.236,4,9.263,1:04.589
2,9.259,1:13.455,1,9.099,1:13.255,3,9.272,1:13.508,4,9.263,1:13.852
2,9.335,1:22.790,1,9.409,1:22.664,3,9.309,1:22.816,4,9.386,1:23.238
3,9.87,1:32.657,1,9.56,1:32.222,2,9.58,1:32.396,4,9.77,1:33.005
