FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
2,14.85,14.85,3,14.98,14.98,1,14.62,14.62,4,15.09,15.09
2,11.45,26.30,3,11.40,26.38,1,11.58,26.20,4,11.41,26.50
2,11.59,37.89,3,11.66,38.04,1,11.53,37.73,4,11.68,38.18
2,11.25,49.14,3,11.18,49.22,1,11.26,48.99,4,11.06,49.24
3,10.28,59.42,4,10.34,59.56,2,10.39,59.38,1,10.00,59.24
2,9.56,1:08.98,4,9.84,1:09.40,3,9.89,1:09.27,1,9.73,1:08.97
1,9.41,1:18.39,4,9.96,1:19.36,3,9.95,1:19.22,2,9.66,1:18.63
1,9.76,1:28.15,4,10.25,1:29.61,3,10.29,1:29.51,2,9.63,1:28.26
1,10.02,1:38.166,0,,PEN,3,11.13,1:40.636,2,10.05,1:38.308
