Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME
3,13.82,13.82,1,13.56,13.56,2,13.72,13.72
3,10.49,24.31,1,10.50,24.06,2,10.46,24.18
3,10.89,35.20,1,10.86,34.92,2,10.89,35.07
3,10.76,45.96,1,10.80,45.72,2,10.76,45.83
3,10.31,56.27,1,10.29,56.01,2,10.32,56.15
3,9.82,1:06.09,1,9.94,1:05.95,2,9.90,1:06.05
1,9.58,1:15.67,2,9.91,1:15.86,3,9.87,1:15.92
1,9.83,1:25.50,2,10.10,1:25.96,3,10.10,1:26.02
1,10.40,1:35.894,3,10.44,1:36.395,2,10.37,1:36.386
