Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME
1,6.77,6.77,3,7.14,7.14,2,6.93,6.93,4,7.29,7.29
1,8.93,15.70,3,8.95,16.09,2,8.86,15.79,4,9.59,16.88
2,8.56,24.26,3,8.44,24.53,1,8.35,24.14,4,9.40,26.28
2,8.56,32.82,3,8.47,33.00,1,8.52,32.66,4,9.80,36.08
2,8.76,41.574,3,8.66,41.652,1,8.68,41.337,4,10.50,46.574
