Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,6.73,6.73,2,6.87,6.87,3,6.98,6.98,4,7.16,7.16
1,8.76,15.49,2,8.79,15.66,3,8.75,15.73,4,8.73,15.89
1,8.36,23.85,2,8.30,23.96,3,8.33,24.06,4,8.32,24.21
1,8.53,32.38,2,8.43,32.39,4,8.86,32.92,3,8.36,32.57
2,8.72,41.093,1,8.66,41.049,4,9.78,42.693,3,8.60,41.167
