Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
2,6.99,6.99,3,7.06,7.06,1,6.88,6.88,4,7.26,7.26
1,9.03,16.03,3,9.19,16.25,2,9.23,16.12,4,9.19,16.46
1,8.64,24.68,3,8.69,24.95,2,8.67,24.79,4,8.56,25.03
2,9.09,33.77,3,8.91,33.86,1,8.83,33.62,4,8.88,33.91
2,8.96,42.728,3,9.03,42.881,1,8.94,42.552,4,9.23,43.131
