Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Hayato SUEYOSHI POSITION,Hayato SUEYOSHI LAP TIME,Hayato SUEYOSHI ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME
3,15.580,15.580,2,15.432,15.432,4,15.852,15.852,1,14.844,14.844
3,10.689,26.269,2,10.601,26.032,4,10.568,26.420,1,10.518,25.361
4,10.153,36.422,3,10.156,36.188,2,9.767,36.187,1,10.122,35.483
4,9.526,45.947,3,9.671,45.858,2,9.455,45.641,1,10.102,45.585
1,9.168,55.115,3,9.355,55.213,2,9.497,55.138,4,10.004,55.588
1,9.717,1:04.832,3,9.815,1:05.027,2,9.759,1:04.897,4,9.852,1:05.439
1,9.980,1:14.811,3,9.857,1:14.884,2,9.957,1:14.854,4,10.374,1:15.813
2,9.638,1:24.448,3,9.745,1:24.629,1,9.496,1:24.349,4,10.754,1:26.567
2,9.69,1:34.137,3,9.59,1:34.215,1,9.73,1:34.074,4,11.09,1:37.652
