Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME
2,7.41,7.41,4,13.10,13.10,1,7.03,7.03,3,7.67,
2,9.19,16.60,4,13.43,26.53,1,9.31,16.34,3,9.20,
2,8.74,25.34,4,10.10,36.63,1,8.84,25.18,3,8.70,
2,8.80,34.14,4,10.23,46.86,1,8.95,34.13,3,8.84,
1,9.04,43.163,3,10.44,57.280,2,9.18,43.293,3,9.18,
