HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,12.74,12.74,3,12.75,12.75,5,13.00,13.00,4,12.81,12.81,1,12.67,12.67
1,9.17,21.92,2,9.23,21.99,5,9.18,22.18,4,9.20,22.02,3,9.34,22.01
2,9.24,31.16,4,9.37,31.36,5,9.28,31.46,3,9.20,31.22,1,9.08,31.10
2,9.60,40.77,3,9.59,40.96,5,9.63,41.10,4,9.84,41.06,1,9.50,40.60
2,9.46,50.24,5,9.56,50.53,4,9.42,50.52,3,9.35,50.42,1,9.48,50.08
2,9.30,59.54,4,9.20,59.73,5,9.38,59.91,3,9.22,59.64,1,9.34,59.42
3,9.18,1:08.73,5,9.19,1:08.93,4,8.87,1:08.78,2,9.08,1:08.72,1,9.24,1:08.67
2,9.18,1:17.91,5,9.26,1:18.19,4,9.36,1:18.15,3,9.30,1:18.02,1,8.95,1:17.62
1,9.35,1:27.254,3,9.40,1:27.582,2,9.27,1:27.420,0,,DQ,4,10.44,1:28.058
