BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Jonathan LOPEZ POSITION,Jonathan LOPEZ LAP TIME,Jonathan LOPEZ ELAPSED TIME,OM Chol POSITION,OM Chol LAP TIME,OM Chol ELAPSED TIME
1,13.65,13.65,2,13.82,13.82,3,13.95,13.95,4,14.12,14.12,5,14.27,14.27
1,10.76,24.41,2,10.76,24.58,3,10.76,24.71,5,10.86,24.98,4,10.59,24.86
1,9.99,34.40,2,9.94,34.52,3,9.92,34.63,5,9.96,34.94,4,9.89,34.75
1,9.73,44.13,2,9.73,44.25,3,9.67,44.30,5,9.96,44.90,4,9.81,44.56
1,9.35,53.48,2,9.38,53.63,3,9.40,53.70,5,9.78,54.68,4,9.44,54.00
2,8.99,1:02.47,1,8.81,1:02.44,3,8.85,1:02.55,5,9.88,1:04.56,4,9.52,1:03.52
3,9.03,1:11.50,1,8.91,1:11.35,2,8.88,1:11.43,5,10.23,1:14.79,4,9.89,1:13.41
2,10.09,1:21.59,1,9.18,1:20.53,5,31.99,1:43.42,4,10.91,1:25.70,3,10.24,1:23.65
0,,PEN,1,10.13,1:30.655,4,15.53,1:58.946,3,11.21,1:36.908,2,10.73,1:34.371
