MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME
1,13.710,13.710,2,13.940,13.940,3,14.240,14.240,4,14.310,14.310
2,10.930,24.640,1,10.680,24.630,3,10.720,24.960,4,10.750,25.070
2,10.590,35.240,3,10.710,35.340,4,10.520,35.480,1,10.060,35.130
1,10.300,45.550,2,10.220,45.560,4,10.330,45.820,3,10.670,45.800
1,10.030,55.580,2,10.250,55.820,3,10.180,56.010,4,10.350,56.160
1,10.040,1:05.620,2,9.920,1:05.750,3,9.850,1:05.870,4,9.930,1:06.100
2,10.090,1:15.720,1,9.950,1:15.710,4,10.100,1:15.970,3,9.850,1:15.950
2,9.950,1:25.680,3,10.070,1:25.780,4,9.850,1:25.830,1,9.470,1:25.420
2,10.180,1:35.860,3,10.220,1:36.010,4,10.260,1:36.090,1,9.830,1:35.250
