HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME
2,12.31,12.31,3,12.63,12.63,1,12.18,12.18
2,9.13,21.44,3,9.15,21.78,1,9.18,21.36
2,9.11,30.55,3,8.90,30.68,1,9.12,30.48
2,8.89,39.44,3,8.95,39.63,1,8.84,39.32
2,9.00,48.44,3,8.99,48.62,1,8.93,48.25
2,9.00,57.44,3,8.98,57.60,1,8.94,57.19
2,8.78,1:06.22,3,8.81,1:06.41,1,8.82,1:06.01
2,8.94,1:15.16,3,9.02,1:15.43,1,8.93,1:14.94
2,8.89,1:24.05,3,8.85,1:24.28,1,9.03,1:23.97
2,8.93,1:32.98,3,8.98,1:33.26,1,8.89,1:32.86
2,9.15,1:42.13,3,8.99,1:42.25,1,9.07,1:41.93
2,9.08,1:51.21,3,9.09,1:51.34,1,9.12,1:51.05
2,8.91,2:00.12,3,8.96,2:00.30,1,8.95,2:00.00
2,9.06,2:09.18,3,9.05,2:09.35,1,9.06,2:09.06
2,9.18,2:18.36,3,9.10,2:18.45,1,9.14,2:18.20
2,8.97,2:27.33,3,9.15,2:27.60,1,8.96,2:27.16
2,9.17,2:36.50,3,9.22,2:36.82,1,9.13,2:36.29
2,9.09,2:45.59,3,9.13,2:45.95,1,9.14,2:45.43
2,8.99,2:54.58,3,8.90,2:54.85,1,9.08,2:54.51
2,9.24,3:03.82,3,9.08,3:03.93,1,9.22,3:03.73
2,9.33,3:13.15,3,9.33,3:13.26,1,9.31,3:13.04
2,9.03,3:22.18,3,9.15,3:22.41,1,9.07,3:22.11
2,9.32,3:31.50,3,9.30,3:31.71,1,9.24,3:31.35
2,9.22,3:40.72,3,9.13,3:40.84,1,9.24,3:40.59
2,9.09,3:49.81,3,9.08,3:49.92,1,9.16,3:49.75
2,9.30,3:59.11,3,9.30,3:59.22,1,9.28,3:59.03
2,9.52,4:08.627,3,9.48,4:08.694,1,9.56,4:08.589
