J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
3,13.07,13.07,2,12.94,12.94,5,13.32,13.32,4,13.18,,1,12.76,12.76
3,9.76,22.83,2,9.75,22.69,5,9.74,23.06,4,9.76,,1,9.71,22.47
3,9.20,32.03,2,9.21,31.90,5,9.23,32.29,4,9.22,,1,9.40,31.87
3,9.14,41.17,1,9.06,40.96,4,8.93,41.22,5,9.07,,2,9.19,41.06
3,9.28,50.45,1,9.27,50.23,4,9.32,50.54,5,9.39,,2,9.28,50.34
4,9.22,59.67,1,9.28,59.51,5,9.27,59.81,3,9.03,,2,9.26,59.60
3,9.26,1:08.93,1,9.13,1:08.64,4,9.26,1:09.07,5,20.90,,2,9.18,1:08.78
2,9.11,1:18.04,1,9.22,1:17.86,4,9.25,1:18.32,5,11.90,,3,9.33,1:18.11
2,9.33,1:27.37,1,9.48,1:27.34,4,9.52,1:27.84,5,14.03,1:46.48,3,9.63,1:27.74
