DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME
3,12.83,12.83,2,12.71,12.71,1,12.63,12.63,4,13.05,13.05
3,10.17,23.00,1,10.05,22.76,2,10.23,22.86,4,10.08,23.13
3,9.96,32.96,1,10.01,32.77,2,10.00,32.86,4,9.99,33.12
3,9.98,42.94,1,9.96,42.73,2,9.95,42.81,4,9.92,43.04
3,9.87,52.81,1,9.87,52.60,2,9.88,52.69,4,9.95,52.99
3,9.61,1:02.42,1,9.64,1:02.24,2,9.65,1:02.34,4,9.57,1:02.56
2,9.14,1:11.56,1,9.24,1:11.48,3,9.42,1:11.76,4,9.38,1:11.94
2,9.08,1:20.64,1,9.08,1:20.56,3,9.48,1:21.24,4,9.47,1:21.41
2,9.19,1:29.825,1,9.16,1:29.719,3,9.66,1:30.894,4,9.72,1:31.123
