Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
1,8.87,8.87,5,9.44,9.44,3,9.11,9.11,4,9.32,9.32,2,8.96,8.96,6,9.52,9.52
1,13.01,21.88,4,12.88,22.32,3,13.05,22.16,5,13.17,22.49,2,13.06,22.02,6,13.08,22.60
2,12.85,34.73,4,12.70,35.02,3,12.68,34.84,5,12.73,35.22,1,12.66,34.68,6,12.74,35.34
2,11.61,46.34,4,11.59,46.61,3,11.63,46.47,5,11.61,46.83,1,11.48,46.16,6,11.58,46.92
2,11.02,57.36,4,10.94,57.55,3,10.98,57.45,5,10.95,57.78,1,11.05,57.21,6,10.95,57.87
3,10.61,1:07.97,4,10.53,1:08.08,2,10.37,1:07.82,5,10.49,1:08.27,1,10.50,1:07.71,6,10.48,1:08.35
2,9.64,1:17.61,4,9.71,1:17.79,3,9.84,1:17.66,5,9.73,1:18.00,1,9.84,1:17.55,6,9.73,1:18.08
1,9.57,1:27.18,4,9.64,1:27.43,2,9.56,1:27.22,5,9.54,1:27.54,3,9.70,1:27.25,6,9.55,1:27.63
2,9.28,1:36.46,5,9.26,1:36.69,1,9.15,1:36.37,3,8.97,1:36.51,4,9.30,1:36.55,6,9.08,1:36.71
3,9.20,1:45.66,6,9.29,1:45.98,1,9.08,1:45.45,2,9.02,1:45.53,4,9.23,1:45.78,5,9.11,1:45.82
3,9.29,1:54.95,6,9.67,1:55.65,1,9.30,1:54.75,2,9.32,1:54.85,5,9.28,1:55.06,4,9.18,1:55.00
3,9.26,2:04.21,6,9.97,2:05.62,1,9.18,2:03.93,2,9.15,2:04.00,5,9.45,2:04.51,4,9.31,2:04.31
3,9.43,2:13.64,6,10.70,2:16.32,2,9.45,2:13.38,1,9.23,2:13.23,5,9.64,2:14.15,4,9.57,2:13.88
0,,DQ,3,11.11,2:27.428,1,9.68,2:23.059,5,35.14,2:48.363,2,9.47,2:23.612,4,21.06,2:34.939
