John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
1,6.93,6.93,2,7.12,7.12,3,7.32,7.32,4,7.42,7.42
1,9.11,16.04,2,9.09,16.21,3,9.17,16.49,4,9.18,16.60
1,8.71,24.75,2,8.61,24.82,3,8.71,25.20,4,8.95,25.55
1,8.82,33.57,2,8.84,33.66,3,9.00,34.20,4,9.81,35.36
2,9.52,43.087,1,8.92,42.578,3,9.12,43.315,4,10.05,45.407
