de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Rafal GRYCNER POSITION,Rafal GRYCNER LAP TIME,Rafal GRYCNER ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
1,9.47,9.47,4,9.95,9.95,2,9.61,9.61,3,9.74,9.74,5,10.09,10.09,6,10.19,10.19
1,13.95,23.42,5,13.86,23.81,2,13.93,23.54,3,13.85,23.59,6,13.73,23.82,4,13.48,23.67
2,12.88,36.30,6,13.09,36.90,3,12.95,36.49,4,13.03,36.62,1,12.31,36.13,5,13.02,36.69
4,11.90,48.20,6,11.57,48.47,5,11.85,48.34,1,11.19,47.81,3,11.94,48.07,2,11.26,47.95
6,11.45,59.65,1,10.57,59.04,3,10.92,59.26,2,11.42,59.23,5,11.46,59.53,4,11.44,59.39
6,10.31,1:09.96,1,10.46,1:09.50,2,10.35,1:09.61,3,10.46,1:09.69,5,10.24,1:09.77,4,10.38,1:09.77
4,10.52,1:20.48,1,10.67,1:20.17,2,10.65,1:20.26,3,10.66,1:20.35,5,10.81,1:20.58,6,10.84,1:20.61
5,10.49,1:30.97,1,10.44,1:30.61,2,10.43,1:30.69,4,10.44,1:30.79,6,10.51,1:31.09,3,10.18,1:30.79
4,9.54,1:40.51,1,9.55,1:40.16,2,9.58,1:40.27,3,9.60,1:40.39,6,9.59,1:40.68,5,9.74,1:40.53
3,9.26,1:49.77,1,9.35,1:49.51,2,9.34,1:49.61,4,9.42,1:49.81,5,9.29,1:49.97,6,9.70,1:50.23
3,9.13,1:58.90,1,9.17,1:58.68,2,9.17,1:58.78,5,9.41,1:59.22,4,9.19,1:59.16,6,9.98,2:00.21
3,9.08,2:07.98,1,9.10,2:07.78,2,9.12,2:07.90,5,9.61,2:08.83,4,9.18,2:08.34,6,10.58,2:10.79
3,9.11,2:17.09,1,9.12,2:16.90,2,9.07,2:16.97,5,9.75,2:18.58,4,9.52,2:17.86,6,11.12,2:21.91
3,9.39,2:26.478,1,9.36,2:26.257,2,9.33,2:26.294,5,10.08,2:28.655,4,10.19,2:28.047,6,11.54,2:33.441
