CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
2,13.09,13.09,3,13.17,13.17,1,12.98,12.98,4,13.30,13.30
2,10.87,23.96,3,10.90,24.07,1,10.84,23.82,4,10.91,24.21
2,10.43,34.39,3,10.45,34.52,1,10.46,34.28,4,10.43,34.64
2,10.32,44.71,3,10.29,44.81,1,10.31,44.59,4,10.28,44.92
2,10.26,54.97,3,10.26,55.07,1,10.22,54.81,4,10.26,55.18
2,9.92,1:04.89,3,9.94,1:05.01,1,10.01,1:04.82,4,9.97,1:05.15
1,9.34,1:14.23,3,9.44,1:14.45,2,9.45,1:14.27,4,9.51,1:14.66
1,9.36,1:23.59,2,9.28,1:23.73,3,9.84,1:24.11,4,9.53,1:24.19
1,9.34,1:32.930,2,9.61,1:33.331,3,9.94,1:34.042,4,10.02,1:34.201
