PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME
3,15.110,15.110,4,15.340,15.340,1,14.850,14.850,2,14.980,14.980
3,12.550,27.670,4,12.420,27.760,1,12.520,27.370,2,12.550,27.530
4,11.340,39.010,1,11.030,38.800,2,11.460,38.840,3,11.370,38.910
4,11.110,50.120,1,10.970,49.770,2,11.000,49.840,3,10.960,49.870
4,10.360,1:00.490,1,10.500,1:00.280,3,10.480,1:00.330,2,10.410,1:00.290
3,10.150,1:10.650,1,10.350,1:10.630,2,10.300,1:10.640,4,10.390,1:10.680
1,9.560,1:20.220,2,10.090,1:20.720,3,10.100,1:20.740,4,10.150,1:20.840
1,9.630,1:29.860,2,9.840,1:30.570,3,9.870,1:30.610,4,9.840,1:30.680
1,9.830,1:39.690,3,10.230,1:40.810,4,10.200,1:40.820,2,10.100,1:40.790
