Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
2,9.14,9.14,4,9.32,9.32,3,9.22,9.22,6,9.43,9.43,1,9.06,9.06,5,9.32,9.32
3,12.51,21.65,6,12.62,21.94,4,12.52,21.74,5,12.32,21.75,2,12.47,21.53,1,12.03,21.35
5,11.22,32.87,6,11.07,33.01,1,10.85,32.59,4,11.09,32.84,3,11.26,32.79,2,11.31,32.66
5,11.40,44.27,6,11.43,44.44,2,11.43,44.02,4,11.42,44.26,1,11.22,44.01,3,11.45,44.11
1,9.96,54.23,6,10.27,54.71,4,10.45,54.47,5,10.30,54.56,2,10.36,54.37,3,10.35,54.46
1,10.21,1:04.44,4,10.00,1:04.71,5,10.47,1:04.94,3,10.04,1:04.60,2,10.08,1:04.45,6,10.78,1:05.24
2,9.95,1:14.39,3,9.74,1:14.45,5,10.27,1:15.21,4,9.87,1:14.47,1,9.85,1:14.30,6,10.33,1:15.57
3,10.06,1:24.45,1,9.84,1:24.29,6,10.60,1:25.81,4,10.10,1:24.57,2,10.07,1:24.37,5,10.18,1:25.75
4,10.24,1:34.69,2,10.21,1:34.50,6,11.18,1:36.99,3,10.08,1:34.65,1,10.09,1:34.46,5,10.41,1:36.16
4,10.03,1:44.72,2,9.90,1:44.40,6,11.67,1:48.66,3,10.01,1:44.66,1,9.86,1:44.32,5,10.79,1:46.95
4,9.91,1:54.63,2,10.03,1:54.43,6,12.16,2:00.82,3,9.96,1:54.62,1,10.00,1:54.32,5,11.16,1:58.11
3,9.95,2:04.58,2,10.02,2:04.45,6,12.86,2:13.68,4,10.14,2:04.76,1,10.04,2:04.36,5,11.51,2:09.62
3,10.09,2:14.67,2,10.12,2:14.57,6,13.70,2:27.38,4,10.22,2:14.98,1,10.11,2:14.47,5,11.57,2:21.19
3,10.28,2:24.947,2,10.29,2:24.854,5,13.12,2:40.496,4,10.68,2:25.657,1,10.29,2:24.752,0,,PEN
