ZHANG Weizhi POSITION,ZHANG Weizhi LAP TIME,ZHANG Weizhi ELAPSED TIME,Tamas ANTAL POSITION,Tamas ANTAL LAP TIME,Tamas ANTAL ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME
1,8.82,8.82,3,9.07,9.07,4,9.22,9.22,5,9.35,9.35,2,8.94,8.94,6,9.51,9.51,7,9.76,9.76
1,12.37,21.19,3,12.36,21.43,4,12.35,21.57,6,12.35,21.70,2,12.39,21.33,6,12.19,21.70,5,11.88,21.64
2,10.61,31.80,4,10.59,32.02,6,10.66,32.23,7,10.67,32.37,3,10.58,31.91,5,10.42,32.12,1,10.06,31.70
2,10.96,42.76,6,10.97,42.99,4,10.73,42.96,7,10.72,43.09,3,10.95,42.86,5,10.85,42.97,1,10.90,42.60
1,9.68,52.44,7,10.30,53.29,3,9.77,52.73,6,10.00,53.09,5,10.12,52.98,4,9.86,52.83,2,10.03,52.63
2,9.64,1:02.08,7,9.47,1:02.76,3,9.47,1:02.20,6,9.41,1:02.50,5,9.42,1:02.40,4,9.48,1:02.31,1,9.43,1:02.06
3,9.84,1:11.92,7,9.81,1:12.57,1,9.53,1:11.73,6,9.72,1:12.22,5,9.69,1:12.09,4,9.69,1:12.00,2,9.71,1:11.77
3,9.64,1:21.56,7,10.31,1:22.88,1,9.46,1:21.19,6,9.72,1:21.94,5,9.74,1:21.83,4,9.69,1:21.69,2,9.62,1:21.39
3,9.34,1:30.90,7,11.02,1:33.90,2,9.63,1:30.82,6,9.68,1:31.62,5,9.48,1:31.31,4,9.34,1:31.03,1,9.35,1:30.74
4,9.83,1:40.73,7,11.57,1:45.47,1,9.55,1:40.37,6,9.93,1:41.55,5,9.63,1:40.94,3,9.50,1:40.53,2,9.65,1:40.39
4,9.31,1:50.04,7,11.96,1:57.43,2,9.29,1:49.66,6,10.33,1:51.88,5,9.99,1:50.93,3,9.39,1:49.92,1,9.25,1:49.64
4,10.11,2:00.15,7,14.00,2:11.43,2,9.35,1:59.01,6,10.75,2:02.63,5,10.34,2:01.27,3,9.24,1:59.16,1,9.29,1:58.93
4,10.88,2:11.03,7,12.90,2:24.33,2,9.41,2:08.42,6,10.90,2:13.53,5,10.67,2:11.94,3,9.42,2:08.58,1,9.41,2:08.34
4,11.74,2:22.77,7,13.02,2:37.35,2,9.51,2:17.93,6,11.04,2:24.57,5,11.15,2:23.09,3,9.48,2:18.06,1,9.51,2:17.85
