HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME
1,6.78,6.78,3,7.01,7.01,2,6.89,6.89,4,7.21,7.21
1,8.95,15.73,3,8.86,15.87,2,8.89,15.78,4,8.89,16.10
2,8.59,24.32,3,8.60,24.47,1,8.50,24.28,4,8.50,24.60
3,8.77,33.09,4,15.61,40.08,1,8.08,32.36,2,8.03,32.63
0,,PEN,3,11.95,52.022,2,9.58,41.939,1,9.31,41.937
