Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME,Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME,Denali BLUNDEN POSITION,Denali BLUNDEN LAP TIME,Denali BLUNDEN ELAPSED TIME,Bartosz BIELECKI POSITION,Bartosz BIELECKI LAP TIME,Bartosz BIELECKI ELAPSED TIME
1,8.58,8.58,4,8.85,8.85,5,8.96,8.96,2,8.70,8.70,3,8.75,8.75,6,9.10,9.10,7,9.22,9.22
1,12.35,20.93,3,12.23,21.08,6,12.36,21.32,2,12.37,21.07,4,12.44,21.19,7,12.23,21.33,5,11.99,21.21
2,10.30,31.23,1,10.03,31.11,5,10.14,31.46,3,10.23,31.30,6,10.37,31.56,7,10.29,31.62,4,10.20,31.41
1,10.43,41.66,3,10.75,41.86,4,10.52,41.98,2,10.48,41.78,7,10.65,42.21,6,10.42,42.04,5,10.59,42.00
2,10.12,51.78,4,10.08,51.94,1,9.65,51.63,3,10.07,51.85,7,10.22,52.43,6,10.23,52.27,5,10.11,52.11
1,9.85,1:01.63,4,9.95,1:01.89,2,10.06,1:01.69,3,9.91,1:01.76,7,9.72,1:02.15,6,9.81,1:02.08,5,9.89,1:02.00
1,10.04,1:11.67,3,9.97,1:11.86,2,10.07,1:11.76,5,10.27,1:12.03,7,10.18,1:12.33,6,10.11,1:12.19,4,9.98,1:11.98
1,9.93,1:21.60,3,9.90,1:21.76,2,9.91,1:21.67,5,9.91,1:21.94,7,9.88,1:22.21,6,9.88,1:22.07,4,9.88,1:21.86
1,9.93,1:31.53,3,9.96,1:31.72,2,9.95,1:31.62,5,10.00,1:31.94,7,9.94,1:32.15,6,9.90,1:31.97,4,10.00,1:31.86
1,9.54,1:41.07,3,9.54,1:41.26,2,9.54,1:41.16,5,9.60,1:41.54,7,9.92,1:42.07,6,9.82,1:41.79,4,9.53,1:41.39
1,9.39,1:50.46,3,9.41,1:50.67,2,9.41,1:50.57,5,9.78,1:51.32,7,9.89,1:51.96,5,9.53,1:51.32,4,9.48,1:50.87
1,9.21,1:59.67,3,9.16,1:59.83,2,9.21,1:59.78,6,10.20,2:01.52,7,10.01,2:01.97,5,9.51,2:00.83,4,9.59,2:00.46
1,9.24,2:08.91,3,9.54,2:09.37,2,9.39,2:09.17,6,10.37,2:11.89,7,10.06,2:12.03,4,9.68,2:10.51,5,10.12,2:10.58
1,9.46,2:18.37,3,9.72,2:19.064,2,9.81,2:18.98,6,10.48,2:22.344,7,10.38,2:22.393,4,9.84,2:20.326,5,10.81,2:21.361
