Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Bazarsad BATSUURI POSITION,Bazarsad BATSUURI LAP TIME,Bazarsad BATSUURI ELAPSED TIME
3,13.67,13.67,2,13.50,13.50,1,13.49,13.49,4,13.82,13.82
3,10.23,23.90,1,10.04,23.54,2,10.27,23.76,4,10.26,24.08
3,10.09,33.99,1,10.17,33.71,2,10.18,33.94,4,10.12,34.20
3,10.01,44.00,1,10.07,43.78,2,10.00,43.94,4,10.14,44.34
3,9.58,53.58,1,9.71,53.49,2,9.57,53.51,4,10.37,54.71
3,9.78,1:03.36,2,9.77,1:03.26,1,9.70,1:03.21,4,10.98,1:05.69
3,9.65,1:13.01,1,9.41,1:12.67,2,9.60,1:12.81,4,11.82,1:17.51
3,9.29,1:22.30,1,9.34,1:22.01,2,9.37,1:22.18,4,11.55,1:29.06
3,9.43,1:31.729,1,9.50,1:31.505,2,9.43,1:31.610,4,11.51,1:40.565
