Elizaveta IVLJEVA POSITION,Elizaveta IVLJEVA LAP TIME,Elizaveta IVLJEVA ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
2,15.310,15.310,4,15.595,15.595,3,15.431,15.431,1,15.173,15.173
3,11.612,26.921,4,11.528,27.123,2,11.457,26.888,1,11.312,26.485
2,10.853,37.774,4,10.787,37.909,3,10.946,37.834,1,10.981,37.465
3,10.826,48.599,4,10.897,48.805,2,10.749,48.583,1,10.935,48.399
2,10.474,59.073,3,10.315,59.119,4,10.670,59.252,1,10.353,58.752
3,10.302,1:09.374,1,9.829,1:08.947,4,11.244,1:10.496,2,10.372,1:09.123
3,10.072,1:19.446,1,10.057,1:19.004,4,11.552,1:22.048,2,10.049,1:19.172
3,10.270,1:29.716,1,10.074,1:29.078,4,11.829,1:33.876,2,10.210,1:29.381
3,10.54,1:40.249,1,10.58,1:39.651,4,12.45,1:46.321,2,10.72,1:40.094
