Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME
6,10.73,10.73,4,10.40,,3,10.27,10.27,2,10.14,10.14,1,10.00,10.00,5,10.57,10.57
6,14.74,25.47,2,14.54,,4,14.86,25.13,3,14.81,24.95,1,14.78,24.78,5,14.78,25.35
6,12.82,38.29,2,12.78,,4,12.89,38.02,1,12.71,37.66,3,13.11,37.89,5,12.81,38.16
6,12.98,51.27,3,13.06,,4,12.96,50.98,1,13.01,50.67,2,12.83,50.72,5,12.98,51.14
6,11.21,1:02.48,2,11.33,,4,11.28,1:02.26,3,11.55,1:02.22,1,11.28,1:02.00,5,11.26,1:02.40
5,10.87,1:13.35,4,11.02,,1,10.43,1:12.69,3,10.65,1:12.87,2,10.72,1:12.72,6,15.80,1:18.20
5,9.61,1:22.96,4,9.66,,1,9.82,1:22.51,3,9.84,1:22.71,2,9.91,1:22.63,6,11.16,1:29.36
5,9.78,1:32.74,4,9.86,,2,9.92,1:32.43,3,9.84,1:32.55,1,9.70,1:32.33,6,9.47,1:38.83
4,9.53,1:42.27,5,9.67,,2,9.59,1:42.02,3,9.67,1:42.22,1,9.68,1:42.01,6,9.35,1:48.18
5,9.47,1:51.74,4,9.33,,1,9.25,1:51.27,3,9.32,1:51.54,2,9.37,1:51.38,6,9.49,1:57.67
5,9.29,2:01.03,4,9.27,,1,9.31,2:00.58,3,9.27,2:00.81,2,9.30,2:00.68,6,9.58,2:07.25
5,9.22,2:10.25,4,9.23,,1,9.17,2:09.75,3,9.25,2:10.06,2,9.15,2:09.83,6,10.01,2:17.26
4,9.51,2:19.76,5,9.63,,2,9.33,2:19.08,3,9.62,2:19.68,1,9.14,2:18.97,6,10.78,2:28.04
4,10.11,2:29.875,5,10.31,,2,9.50,2:28.58,3,9.98,2:29.66,1,9.52,2:28.49,5,11.94,2:39.984
