KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME,Sandra TRUSOVA POSITION,Sandra TRUSOVA LAP TIME,Sandra TRUSOVA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
1,7.40,7.40,3,7.62,7.62,5,7.90,7.90,2,7.49,,4,7.74,7.74
1,9.43,16.83,3,9.49,17.11,5,9.96,17.86,2,9.39,,3,9.37,17.11
4,20.12,36.95,2,9.29,26.40,3,9.70,27.56,5,22.32,,1,8.88,25.99
4,12.83,49.78,2,9.73,36.13,3,9.94,37.50,5,13.64,,1,8.98,34.97
4,12.32,1:02.10,2,10.00,46.13,3,10.41,47.889,5,12.98,,1,9.17,44.14
