SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME
5,12.99,12.99,2,12.67,12.67,1,12.55,12.55,3,12.76,12.76,4,12.88,12.88
5,9.65,22.64,3,9.77,22.44,1,9.77,22.32,4,9.76,22.52,2,9.55,22.43
5,9.28,31.92,3,9.28,31.72,1,9.16,31.48,4,9.30,31.82,2,9.17,31.60
5,9.27,41.19,3,9.24,40.96,1,9.26,40.74,4,9.24,41.06,2,9.23,40.83
5,9.24,50.43,3,9.27,50.23,1,9.19,49.93,4,9.28,50.34,2,9.26,50.09
4,8.88,59.31,2,8.85,59.08,1,9.08,59.01,5,9.01,59.35,3,9.09,59.18
3,8.90,1:08.21,2,9.04,1:08.12,1,8.93,1:07.94,5,9.10,1:08.45,4,9.14,1:08.32
3,8.80,1:17.01,2,8.80,1:16.92,1,8.89,1:16.83,4,9.01,1:17.46,5,9.17,1:17.49
3,8.96,1:25.969,1,8.83,1:25.743,2,9.09,1:25.915,4,9.06,1:26.517,5,9.49,1:26.972
