Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,Thibault METRAUX POSITION,Thibault METRAUX LAP TIME,Thibault METRAUX ELAPSED TIME
3,15.49,15.49,2,15.40,15.40,1,15.29,15.29,5,15.82,15.82,4,15.67,15.67
3,11.52,27.01,2,11.52,26.92,1,11.50,26.79,5,11.49,27.31,4,11.50,27.17
1,10.33,37.34,2,10.46,37.38,3,10.70,37.49,5,10.41,37.72,4,10.43,37.60
2,10.10,47.44,1,9.97,47.35,4,10.14,47.63,5,10.02,47.74,3,9.99,47.59
2,9.53,56.97,1,9.55,56.90,5,9.73,57.36,4,9.44,57.18,3,9.50,57.09
2,9.40,1:06.37,1,9.40,1:06.30,5,9.53,1:06.89,4,9.41,1:06.59,3,9.41,1:06.50
1,9.30,1:15.67,2,9.48,1:15.78,5,9.31,1:16.20,3,9.27,1:15.86,4,9.47,1:15.97
1,9.33,1:25.00,3,9.57,1:25.35,5,9.39,1:25.59,2,9.33,1:25.19,4,9.51,1:25.48
1,9.49,1:34.498,4,10.00,1:35.355,5,9.84,1:35.436,2,9.33,1:34.528,3,9.53,1:35.016
