Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Gellert PATAKI POSITION,Gellert PATAKI LAP TIME,Gellert PATAKI ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,KOCARNIK Jan POSITION,KOCARNIK Jan LAP TIME,KOCARNIK Jan ELAPSED TIME
3,10.364,10.364,4,10.414,10.414,1,10.182,10.182,6,11.461,11.461,2,10.355,10.355,5,10.602,10.602
4,14.180,24.544,2,13.991,24.405,1,14.028,24.210,3,13.052,24.513,5,14.221,24.575,6,14.229,24.831
3,13.186,37.730,5,13.439,37.844,2,13.499,37.708,4,13.220,37.732,1,13.113,37.688,6,13.117,37.948
2,12.303,50.032,6,13.424,51.268,1,12.255,49.963,3,12.544,50.276,4,12.624,50.312,5,12.494,50.441
3,12.076,1:02.108,4,10.965,1:02.232,2,12.138,1:02.101,1,11.446,1:01.722,6,12.163,1:02.475,5,11.911,1:02.351
3,12.048,1:14.156,4,12.062,1:14.294,2,12.006,1:14.106,1,12.174,1:13.895,6,11.982,1:14.456,5,11.974,1:14.325
2,11.053,1:25.208,4,11.024,1:25.317,3,11.115,1:25.221,1,11.046,1:24.941,6,11.250,1:25.705,5,11.085,1:25.409
2,10.169,1:35.377,1,9.826,1:35.143,3,10.257,1:35.477,4,10.568,1:35.509,6,10.120,1:35.825,5,10.334,1:35.743
3,9.797,1:45.173,2,9.804,1:44.947,1,9.440,1:44.917,6,10.536,1:46.044,5,10.154,1:45.978,4,9.781,1:45.523
3,10.085,1:55.258,2,9.975,1:54.921,1,9.225,1:54.141,6,10.279,1:56.323,5,10.075,1:56.052,4,9.885,1:55.408
4,10.318,2:05.575,2,10.023,2:04.943,1,9.550,2:03.691,6,10.806,2:07.128,5,10.232,2:06.284,3,9.894,2:05.301
4,10.544,2:16.118,2,10.173,2:15.116,1,10.022,2:13.712,6,11.317,2:18.445,5,10.841,2:17.124,3,10.181,2:15.482
4,11.119,2:27.237,2,10.783,2:25.899,1,10.428,2:24.139,6,11.839,2:30.284,5,11.454,2:28.578,3,10.616,2:26.098
4,11.96,2:39.188,2,10.86,2:36.751,1,11.40,2:35.538,6,12.63,2:42.905,5,12.90,2:41.474,3,11.32,2:37.411
