CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME
5,9.26,9.26,3,8.88,8.88,6,9.45,9.45,4,9.00,9.00,1,8.52,8.52,2,8.67,8.67
5,10.56,19.82,3,10.69,19.57,6,10.53,19.98,4,10.65,19.65,1,10.80,19.32,2,10.75,19.42
5,10.31,30.13,3,10.35,29.92,6,10.27,30.25,4,10.37,30.02,1,10.35,29.67,2,10.37,29.79
6,10.40,40.53,3,10.40,40.32,5,10.25,40.50,4,10.39,40.41,1,10.47,40.14,2,10.46,40.25
4,9.80,50.33,5,10.20,50.52,1,9.62,50.12,6,10.23,50.64,2,10.16,50.30,3,10.06,50.31
1,9.29,59.62,5,9.57,1:00.09,2,9.57,59.69,6,9.57,1:00.21,4,9.63,59.93,3,9.51,59.82
2,9.71,1:09.33,5,9.47,1:09.56,1,9.63,1:09.32,6,9.49,1:09.70,3,9.54,1:09.47,4,9.73,1:09.55
1,10.03,1:19.36,6,10.21,1:19.77,5,10.35,1:19.67,3,9.85,1:19.55,2,10.00,1:19.47,4,10.09,1:19.64
1,10.12,1:29.48,6,10.16,1:29.93,5,10.17,1:29.84,3,10.08,1:29.63,1,10.01,1:29.48,4,10.10,1:29.74
3,9.68,1:39.16,6,9.48,1:39.41,5,9.50,1:39.34,2,9.43,1:39.06,1,9.51,1:38.99,4,9.57,1:39.31
2,9.15,1:48.31,5,9.12,1:48.53,4,9.18,1:48.52,3,9.33,1:48.39,1,9.23,1:48.22,6,9.49,1:48.80
1,8.97,1:57.28,2,8.83,1:57.36,5,9.10,1:57.62,4,9.13,1:57.52,2,9.14,1:57.36,6,9.82,1:58.62
1,9.24,2:06.52,1,9.16,2:06.52,5,9.41,2:07.03,4,9.19,2:06.71,3,9.23,2:06.59,6,11.05,2:09.67
2,9.62,2:16.14,1,9.32,2:15.84,5,9.86,2:16.89,4,9.61,2:16.32,3,9.64,2:16.23,6,11.87,2:21.54
