Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,WEI Jiguang POSITION,WEI Jiguang LAP TIME,WEI Jiguang ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,14.600,14.600,4,15.240,15.240,2,14.700,14.700,3,14.830,14.830
1,11.200,25.810,3,11.010,26.250,4,11.670,26.370,2,11.010,25.840
2,10.040,35.860,4,9.800,36.050,3,9.490,35.860,1,9.890,35.740
4,10.370,46.240,2,9.810,45.870,1,9.890,45.760,3,10.200,45.940
2,9.600,55.850,1,9.700,55.570,3,10.110,55.870,4,10.000,55.950
4,9.390,1:05.240,1,9.490,1:05.070,2,9.270,1:05.140,3,9.270,1:05.230
4,9.300,1:14.540,2,8.820,1:13.900,3,9.310,1:14.460,1,8.620,1:13.850
4,9.900,1:24.440,2,9.010,1:22.910,3,9.010,1:23.470,1,8.830,1:22.690
4,10.500,1:34.950,3,9.220,1:32.130,2,8.490,1:31.970,1,9.160,1:31.850
