CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME
2,14.441,14.441,3,14.474,14.474,1,14.229,14.229,4,14.661,14.661
2,10.955,25.396,3,10.940,25.414,1,10.966,25.195,4,10.898,25.559
1,9.845,35.241,3,9.988,35.402,2,10.170,35.364,4,10.069,35.627
3,9.906,45.147,1,9.400,44.802,2,9.440,44.803,4,9.586,45.213
3,10.156,55.303,1,10.252,55.053,2,10.383,55.186,4,10.174,55.386
4,22.490,1:17.792,1,9.996,1:05.049,2,9.908,1:05.094,3,9.915,1:05.301
4,13.822,1:31.613,1,10.206,1:15.254,2,10.271,1:15.364,3,10.223,1:15.524
4,13.353,1:44.966,1,10.045,1:25.298,2,10.012,1:25.376,3,10.024,1:25.548
4,14.40,1:59.357,1,10.07,1:35.367,2,10.04,1:35.414,3,10.10,1:35.647
