MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
3,8.17,8.17,4,8.22,8.22,2,7.92,7.92,1,7.40,7.40
3,9.73,17.90,4,10.33,18.55,2,9.95,17.87,1,9.42,16.82
3,9.57,27.47,4,9.80,28.35,2,9.60,27.47,1,9.01,25.83
2,9.48,36.95,4,10.04,38.39,3,9.87,37.34,1,9.18,35.01
2,9.69,46.638,4,10.38,48.764,3,9.99,47.325,1,9.34,44.347
