LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
1,6.74,6.74,3,6.85,6.85,2,6.84,6.84,4,7.05,7.05,5,7.18,7.18
1,9.44,16.18,3,9.64,16.49,2,9.57,16.41,4,9.59,16.64,5,9.61,16.79
1,8.46,24.64,3,8.47,24.96,2,8.47,24.88,4,8.49,25.13,5,8.64,25.43
1,8.83,33.47,3,8.72,33.68,2,8.68,33.56,4,8.67,33.80,5,8.82,34.25
3,10.84,44.303,4,10.84,44.516,0,,PEN,2,10.10,43.896,1,9.12,43.364
