de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME
2,13.01,13.01,1,12.97,12.97,3,13.12,13.12,5,13.29,13.29,4,13.21,13.21
2,10.26,23.27,1,10.20,23.17,3,10.22,23.34,5,10.24,23.53,4,10.14,23.35
2,9.88,33.15,1,9.89,33.06,5,10.11,33.45,4,9.76,33.29,3,9.89,33.24
1,9.58,42.73,1,9.67,42.73,4,9.56,43.01,5,9.87,43.16,3,9.67,42.91
1,9.23,51.96,2,9.31,52.04,4,9.19,52.20,5,9.26,52.42,3,9.16,52.07
1,9.03,1:00.99,3,9.24,1:01.28,4,9.19,1:01.39,5,9.15,1:01.57,2,9.15,1:01.22
1,8.84,1:09.83,3,9.08,1:10.36,4,9.11,1:10.50,5,9.22,1:10.79,2,9.00,1:10.22
1,8.97,1:18.80,3,9.12,1:19.48,4,9.10,1:19.60,5,9.45,1:20.24,2,9.05,1:19.27
1,9.11,1:27.91,3,9.38,1:28.860,4,9.43,1:29.032,5,9.93,1:30.176,2,9.19,1:28.464
