Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Mukerrem DENIZ POSITION,Mukerrem DENIZ LAP TIME,Mukerrem DENIZ ELAPSED TIME
1,11.82,11.82,2,12.02,12.02,6,13.67,,4,12.32,12.32,3,12.18,12.18,5,12.47,12.47
1,8.94,20.76,2,8.86,20.88,6,8.78,,4,8.80,21.12,3,8.83,21.01,5,8.88,21.35
1,8.84,29.60,2,8.80,29.68,6,8.53,,4,8.79,29.91,3,8.76,29.77,5,8.87,30.22
1,8.84,38.44,3,8.86,38.54,6,8.57,,4,8.79,38.70,2,8.75,38.52,5,8.85,39.07
2,8.84,47.28,3,8.78,47.32,6,8.67,,4,8.79,47.49,1,8.68,47.20,5,8.98,48.05
3,8.98,56.26,2,8.93,56.25,5,8.77,,4,8.93,56.42,1,8.81,56.01,6,9.32,57.37
4,9.19,1:05.45,2,9.04,1:05.29,5,8.91,,3,8.96,1:05.38,1,8.90,1:04.91,6,9.53,1:06.90
4,9.33,1:14.78,3,9.33,1:14.62,5,9.08,,2,9.17,1:14.55,1,9.12,1:14.03,6,9.93,1:16.83
4,9.66,1:24.421,5,9.86,1:24.48,3,9.27,,2,9.30,1:23.85,1,9.45,1:23.48,5,10.45,1:27.252
