Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,LIU Heinrich POSITION,LIU Heinrich LAP TIME,LIU Heinrich ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
2,12.45,12.45,5,13.14,13.14,1,12.37,,3,12.67,12.67,4,13.01,13.01
2,9.90,22.35,5,9.90,23.04,1,9.88,,3,9.79,22.46,4,9.62,22.63
2,9.69,32.04,5,9.86,32.90,1,9.69,,3,9.59,32.05,4,9.60,32.23
4,9.64,41.68,5,10.18,43.08,1,9.34,,2,9.41,41.46,3,9.32,41.55
4,9.30,50.98,5,10.69,53.77,1,9.40,,2,9.31,50.77,3,9.34,50.89
3,9.31,1:00.29,5,11.19,1:04.96,2,9.42,,4,9.60,1:00.37,1,9.19,1:00.08
3,9.30,1:09.59,5,12.03,1:16.99,2,9.36,,4,9.58,1:09.95,1,9.31,1:09.39
3,9.10,1:18.69,4,12.80,1:29.79,2,9.11,,5,26.12,1:36.07,1,9.10,1:18.49
2,9.42,1:28.11,4,12.43,1:42.22,3,9.63,,5,17.98,1:54.05,1,9.27,1:27.76
