Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Jamie SUTTON POSITION,Jamie SUTTON LAP TIME,Jamie SUTTON ELAPSED TIME
1,6.81,6.81,2,7.12,7.12,3,7.31,7.31,4,7.69,7.69
1,9.17,15.98,2,8.98,16.10,3,9.11,16.42,4,9.76,17.45
1,8.85,24.83,2,8.76,24.86,3,8.65,25.07,4,9.31,26.76
2,9.14,33.97,1,8.76,33.62,3,8.99,34.06,4,9.37,36.13
3,9.17,43.135,1,8.94,42.553,2,9.07,43.127,4,9.55,45.677
