Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
2,12.86,12.86,1,12.73,12.73,3,12.98,12.98,4,13.00,13.00
2,10.13,22.99,1,10.16,22.89,4,10.11,23.09,3,10.05,23.05
3,9.36,32.35,2,9.30,32.19,4,9.39,32.48,1,8.99,32.04
3,9.23,41.58,2,9.26,41.45,4,9.22,41.70,1,9.29,41.33
3,9.16,50.74,2,9.14,50.59,4,9.16,50.86,1,9.12,50.45
3,8.96,59.70,2,8.98,59.57,4,9.02,59.88,1,8.98,59.43
3,9.01,1:08.71,2,8.97,1:08.54,4,9.00,1:08.88,1,8.95,1:08.38
3,8.88,1:17.59,2,8.95,1:17.49,4,8.90,1:17.78,1,9.02,1:17.40
3,8.98,1:26.568,1,8.96,1:26.442,4,9.00,1:26.772,2,9.14,1:26.533
