GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME,Artsem ALIATDZINAU POSITION,Artsem ALIATDZINAU LAP TIME,Artsem ALIATDZINAU ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,12.11,12.11,5,12.55,12.55,2,12.20,12.20,4,12.52,12.52,3,12.31,12.31
1,9.34,21.45,5,9.45,22.00,2,9.36,21.56,4,9.28,21.80,3,9.39,21.70
1,9.15,30.60,5,9.09,31.09,2,9.13,30.69,4,9.12,30.92,3,9.12,30.82
1,8.99,39.59,5,9.01,40.10,3,9.06,39.75,4,8.93,39.85,2,8.83,39.65
1,8.88,48.47,5,9.14,49.24,3,8.90,48.65,4,8.91,48.76,2,8.92,48.57
2,8.92,57.39,5,9.41,58.65,3,8.87,57.52,4,8.93,57.69,1,8.81,57.38
3,9.04,1:06.43,5,9.90,1:08.55,2,8.77,1:06.29,4,9.14,1:06.83,1,8.83,1:06.21
3,9.16,1:15.59,5,10.30,1:18.85,2,9.02,1:15.31,4,9.79,1:16.62,1,8.97,1:15.18
3,9.35,1:24.94,5,10.52,1:29.37,2,9.15,1:24.46,4,10.57,1:27.19,1,9.20,1:24.38
