Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
5,13.15,13.15,4,13.01,,3,12.94,12.94,1,12.85,12.85,2,12.92,12.92
5,9.95,23.10,4,9.97,,2,9.90,22.84,1,9.83,22.68,3,9.93,22.85
5,9.56,32.66,4,9.59,,1,9.43,32.27,2,9.68,32.36,3,9.61,32.46
3,9.41,42.07,5,10.40,,1,9.49,41.76,2,9.47,41.83,4,10.19,42.65
3,9.20,51.27,5,10.67,,1,9.27,51.03,2,9.32,51.15,4,9.15,51.80
3,9.26,1:00.53,5,10.67,,1,9.25,1:00.28,2,9.24,1:00.39,4,9.06,1:00.86
3,9.27,1:09.80,5,11.11,,1,9.10,1:09.38,2,9.01,1:09.40,4,9.06,1:09.92
4,9.48,1:19.28,5,11.58,,2,9.16,1:18.54,1,8.94,1:18.34,3,9.29,1:19.21
4,9.73,1:28.994,5,11.43,,2,9.26,1:27.784,1,9.09,1:27.414,3,9.52,1:28.714
