Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,Namasthee HARRIS-GAUTHIER POSITION,Namasthee HARRIS-GAUTHIER LAP TIME,Namasthee HARRIS-GAUTHIER ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Gloria MALFATTI POSITION,Gloria MALFATTI LAP TIME,Gloria MALFATTI ELAPSED TIME
1,7.14,7.14,4,7.89,7.89,3,7.88,7.88,2,7.49,7.49
1,10.11,17.25,2,9.80,17.69,4,9.91,17.79,3,10.23,17.72
2,9.69,26.94,4,9.38,27.07,3,9.21,27.00,1,9.15,26.87
2,9.55,36.49,3,9.47,36.54,4,9.60,36.60,1,9.21,36.08
3,9.64,46.124,2,9.51,46.044,1,9.16,45.760,4,30.83,1:06.906
