Jens van 'T WOUT POSITION,Jens van 'T WOUT LAP TIME,Jens van 'T WOUT ELAPSED TIME,ZHANG Tianyi POSITION,ZHANG Tianyi LAP TIME,ZHANG Tianyi ELAPSED TIME,SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,Dinmukhammed ZHOLDAS POSITION,Dinmukhammed ZHOLDAS LAP TIME,Dinmukhammed ZHOLDAS ELAPSED TIME,LEE Jeongmin POSITION,LEE Jeongmin LAP TIME,LEE Jeongmin ELAPSED TIME
1,14.11,14.11,3,14.27,14.27,5,14.40,14.40,4,14.37,14.37,2,14.26,14.26
2,9.51,23.62,4,9.44,23.71,2,9.22,23.62,5,9.45,23.82,1,9.29,23.55
3,9.24,32.86,3,9.15,32.86,1,9.14,32.76,5,9.16,32.98,1,9.21,32.76
3,8.90,41.76,1,8.74,41.60,5,9.18,41.94,4,8.85,41.83,2,8.93,41.69
3,9.51,51.27,1,9.49,51.09,5,9.48,51.42,4,9.54,51.37,2,9.50,51.19
3,9.10,1:00.37,2,9.20,1:00.29,4,9.04,1:00.46,5,9.27,1:00.64,1,9.07,1:00.26
2,8.80,1:09.17,3,9.07,1:09.36,4,8.96,1:09.42,5,8.98,1:09.62,1,8.67,1:08.93
2,8.70,1:17.87,4,9.20,1:18.56,3,9.02,1:18.44,5,9.07,1:18.69,1,8.83,1:17.76
2,9.09,1:26.96,4,9.20,1:27.768,3,9.03,1:27.473,5,9.34,1:28.036,1,9.03,1:26.79
