Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
4,7.18,7.18,1,6.78,6.78,3,6.92,6.92,2,6.89,6.89,5,7.27,7.27
4,9.35,16.53,1,9.12,15.90,2,9.15,16.07,3,9.32,16.21,5,9.34,16.61
5,9.06,25.59,1,8.68,24.58,2,8.61,24.68,3,8.85,25.06,4,8.83,25.44
5,9.08,34.67,1,8.66,33.24,2,8.67,33.35,3,9.07,34.13,4,8.80,34.24
5,9.53,44.191,1,8.91,42.150,2,8.86,42.202,3,9.45,43.577,4,9.46,43.697
