Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME,Jamie SUTTON POSITION,Jamie SUTTON LAP TIME,Jamie SUTTON ELAPSED TIME
4,14.51,14.51,1,14.28,14.28,2,14.38,14.38,3,14.50,14.50,5,14.70,14.70
4,11.51,26.02,1,11.47,25.75,2,11.47,25.85,3,11.44,25.94,5,11.47,26.17
2,10.65,36.67,1,10.86,36.61,3,10.87,36.72,4,10.95,36.89,5,11.04,37.21
1,9.29,45.96,2,9.39,46.00,3,9.40,46.12,4,9.55,46.44,5,9.84,47.05
2,9.64,55.60,1,9.52,55.52,3,9.61,55.73,4,9.45,55.89,5,9.86,56.91
2,9.35,1:04.95,1,9.35,1:04.87,3,9.28,1:05.01,4,9.37,1:05.26,5,9.80,1:06.71
3,9.88,1:14.83,1,9.46,1:14.33,2,9.78,1:14.79,4,9.83,1:15.09,5,10.26,1:16.97
3,9.68,1:24.51,1,9.45,1:23.78,2,9.66,1:24.45,4,9.96,1:25.05,5,10.55,1:27.52
3,9.73,1:34.240,1,9.67,1:33.447,2,9.53,1:33.980,4,10.12,1:35.170,5,10.72,1:38.239
