Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
4,9.075,9.075,3,8.902,8.902,1,8.754,8.754,2,8.880,8.880,5,9.277,9.277
4,12.546,21.621,3,12.468,21.370,1,12.464,21.218,2,12.364,21.243,5,12.407,21.684
4,11.600,33.221,2,11.617,32.987,3,11.829,33.047,1,11.679,32.922,5,11.593,33.276
4,11.514,44.734,2,11.563,44.550,3,11.534,44.581,1,11.530,44.451,5,11.637,44.913
1,10.319,55.053,4,10.949,55.499,3,10.815,55.395,2,10.866,55.317,5,10.738,55.651
2,10.355,1:05.407,1,9.856,1:05.354,3,10.221,1:05.616,4,10.353,1:05.670,5,10.100,1:05.751
3,9.869,1:15.275,1,9.910,1:15.263,5,9.917,1:15.533,4,9.830,1:15.499,2,9.517,1:15.267
3,9.523,1:24.798,2,9.372,1:24.634,4,9.297,1:24.829,5,9.356,1:24.855,1,9.333,1:24.600
2,9.342,1:34.139,4,9.575,1:34.209,5,9.464,1:34.293,3,9.316,1:34.171,1,9.506,1:34.105
5,9.719,1:43.858,4,9.577,1:43.786,2,9.453,1:43.745,3,9.582,1:43.752,1,9.513,1:43.618
4,9.628,1:53.486,5,9.875,1:53.660,3,9.548,1:53.293,2,9.479,1:53.230,1,9.508,1:53.125
4,9.590,2:03.075,5,9.743,2:03.403,3,9.589,2:02.882,2,9.551,2:02.781,1,9.505,2:02.629
4,9.726,2:12.801,5,10.190,2:13.592,2,9.566,2:12.448,1,9.569,2:12.350,3,9.823,2:12.452
4,9.93,2:22.731,5,10.54,2:24.131,3,9.99,2:22.437,2,10.06,2:22.404,1,9.80,2:22.248
