JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
3,12.74,12.74,1,12.53,12.53,4,12.76,12.76,6,13.01,13.01,2,12.66,,5,12.85,12.85
5,9.34,22.08,2,9.32,21.85,1,8.98,21.74,6,9.20,22.21,3,9.23,,4,9.15,22.00
5,9.02,31.10,2,8.97,30.82,1,9.00,30.74,6,9.03,31.24,3,9.03,,4,8.99,30.99
6,9.10,40.20,2,9.05,39.87,1,9.05,39.79,5,8.91,40.15,4,9.12,,3,8.98,39.97
6,9.23,49.43,2,9.09,48.96,1,9.08,48.87,5,9.14,49.29,4,9.10,,3,9.11,49.08
5,9.10,58.53,6,19.26,1:08.22,1,9.14,58.01,4,9.09,58.38,3,9.13,,2,9.17,58.25
5,9.34,1:07.87,6,22.26,1:30.48,1,9.01,1:07.02,3,9.30,1:07.68,4,9.48,,2,9.19,1:07.44
5,9.53,1:17.40,6,13.55,1:44.03,1,8.99,1:16.01,3,9.16,1:16.84,4,9.36,,2,9.24,1:16.68
5,9.84,1:27.24,6,12.80,1:56.83,1,9.24,1:25.25,3,9.62,1:26.46,4,9.49,,2,9.54,1:26.22
