Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
4,13.60,13.60,3,13.57,13.57,5,13.82,13.82,2,13.49,13.49,1,13.41,13.41
5,10.79,24.39,1,10.50,24.07,4,10.47,24.29,3,10.69,24.18,1,10.66,24.07
5,9.79,34.18,1,9.77,33.84,4,9.81,34.10,3,9.83,34.01,2,9.83,33.90
5,9.51,43.69,1,9.59,43.43,4,9.48,43.58,3,9.53,43.54,2,9.61,43.51
3,9.12,52.81,1,9.19,52.62,4,9.31,52.89,5,9.41,52.95,2,9.20,52.71
3,9.18,1:01.99,1,9.24,1:01.86,4,9.21,1:02.10,5,9.27,1:02.22,2,9.22,1:01.93
2,9.10,1:11.09,1,9.19,1:11.05,4,9.15,1:11.25,5,9.17,1:11.39,3,9.18,1:11.11
4,9.30,1:20.39,1,9.05,1:20.10,3,9.03,1:20.28,5,9.08,1:20.47,2,9.10,1:20.21
4,9.08,1:29.456,3,9.33,1:29.410,2,,1:29.309,5,9.14,1:29.592,1,,1:29.268
