Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Serge PLANCHER POSITION,Serge PLANCHER LAP TIME,Serge PLANCHER ELAPSED TIME,Marco BERTOLDI POSITION,Marco BERTOLDI LAP TIME,Marco BERTOLDI ELAPSED TIME,Dennis WALZER POSITION,Dennis WALZER LAP TIME,Dennis WALZER ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME
3,10.137,10.137,2,10.102,10.102,4,10.292,10.292,5,10.492,10.492,6,10.813,10.813,7,11.899,11.899,1,10.067,10.067
2,13.886,24.024,3,13.937,24.040,5,14.224,24.516,1,13.324,23.816,6,13.955,24.767,7,12.928,24.827,4,14.269,24.337
6,12.415,36.438,4,12.283,36.322,2,11.203,35.720,3,12.015,35.831,7,11.699,36.466,1,10.856,35.684,5,11.998,36.334
7,11.783,48.222,5,11.299,47.621,2,11.421,47.140,4,11.545,47.376,6,11.524,47.991,1,11.300,46.983,3,10.839,47.174
5,10.723,58.944,6,11.357,58.977,3,11.455,58.595,4,11.331,58.708,7,11.262,59.252,2,11.362,58.346,1,11.087,58.261
6,10.912,1:09.857,5,10.858,1:09.835,3,10.917,1:09.512,4,10.897,1:09.605,7,11.029,1:10.281,1,10.849,1:09.195,2,11.033,1:09.293
6,10.390,1:20.247,3,10.055,1:19.890,5,10.475,1:19.987,4,10.364,1:19.969,7,10.264,1:20.544,2,10.644,1:19.839,1,10.442,1:19.736
6,9.961,1:30.208,3,9.926,1:29.817,5,9.934,1:29.921,4,9.945,1:29.914,7,9.884,1:30.428,2,9.844,1:29.683,1,9.765,1:29.500
6,10.276,1:40.483,5,10.490,1:40.306,4,10.283,1:40.204,3,10.222,1:40.136,7,10.540,1:40.969,1,10.102,1:39.785,2,10.449,1:39.949
6,10.184,1:50.668,5,10.247,1:50.554,3,10.126,1:50.330,4,10.302,1:50.438,7,11.087,1:52.056,1,10.345,1:50.130,2,10.275,1:50.224
5,10.235,2:00.903,4,10.141,2:00.695,3,10.282,2:00.612,2,10.141,2:00.580,7,11.528,2:03.584,1,10.379,2:00.509,6,10.734,2:00.958
5,10.335,2:11.238,4,10.308,2:11.003,2,9.922,2:10.534,3,10.186,2:10.766,7,12.536,2:16.120,1,9.997,2:10.506,6,10.670,2:11.628
1,9.058,2:20.296,5,10.148,2:21.151,3,10.220,2:20.754,4,10.226,2:20.992,7,13.353,2:29.473,2,10.084,2:20.590,6,11.225,2:22.853
1,10.094,2:30.390,5,10.744,2:31.895,2,10.472,2:31.226,4,10.336,2:31.328,7,13.039,2:42.512,3,10.711,2:31.301,6,12.464,2:35.316
