TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,KIM Un Hyok POSITION,KIM Un Hyok LAP TIME,KIM Un Hyok ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME
1,7.10,7.10,2,7.23,7.23,4,7.33,7.33,3,7.27,7.27,5,7.45,7.45
2,9.21,16.31,3,9.18,16.41,5,9.39,16.72,1,8.92,16.19,4,9.16,16.61
2,8.73,25.04,3,8.80,25.21,4,8.57,25.29,1,8.36,24.55,5,8.89,25.50
2,8.75,33.79,4,8.99,34.20,3,8.75,34.04,1,8.48,33.03,5,8.86,34.36
2,9.01,42.80,5,9.03,43.233,3,8.92,42.961,1,8.92,41.95,4,8.80,43.168
