Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME
1,13.04,13.04,2,13.23,13.23,3,13.26,13.26,4,13.45,13.45
1,9.58,22.62,3,9.51,22.74,2,9.46,22.72,4,9.45,22.90
1,9.43,32.05,3,9.55,32.29,2,9.46,32.18,4,9.48,32.38
1,9.97,42.02,3,9.94,42.23,2,9.94,42.12,4,9.95,42.33
2,10.02,52.04,3,9.90,52.13,1,9.78,51.90,4,9.89,52.22
2,9.75,1:01.79,4,9.79,1:01.92,1,9.78,1:01.68,3,9.68,1:01.90
2,9.60,1:11.39,4,9.71,1:11.63,1,9.61,1:11.29,3,9.60,1:11.50
2,9.56,1:20.95,4,9.56,1:21.19,1,9.57,1:20.86,3,9.55,1:21.05
2,9.75,1:30.699,4,9.75,1:30.935,1,9.74,1:30.598,3,9.69,1:30.739
