Marina TRETIAKOVA POSITION,Marina TRETIAKOVA LAP TIME,Marina TRETIAKOVA ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME
2,18.126,18.126,1,18.067,18.067,4,18.449,18.449,3,18.393,18.393
3,12.725,30.851,1,12.540,30.606,4,12.530,30.978,2,12.442,30.835
2,11.792,42.643,1,11.820,42.426,4,11.943,42.921,3,11.896,42.731
3,10.592,53.234,2,10.777,53.203,4,10.475,53.395,1,10.472,53.203
3,10.202,1:03.435,1,9.963,1:03.165,4,10.208,1:03.603,2,10.148,1:03.350
2,9.607,1:13.041,1,9.543,1:12.708,4,9.747,1:13.349,3,9.739,1:13.088
2,9.654,1:22.695,1,9.781,1:22.488,4,9.695,1:23.044,3,9.653,1:22.741
1,10.070,1:32.764,3,10.609,1:33.096,4,10.067,1:33.111,2,10.152,1:32.892
1,9.24,1:41.996,2,9.18,1:42.268,3,9.57,1:42.672,0,,DQ
