Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME
1,9.01,9.01,3,9.17,9.17,4,9.27,9.27,5,9.28,9.28,2,9.14,9.14,6,9.35,9.35
2,12.14,21.15,1,11.89,21.06,5,12.24,21.51,3,11.96,21.24,4,12.23,21.37,6,12.30,21.65
2,11.12,32.27,1,11.07,32.13,5,11.13,32.64,3,11.16,32.40,4,11.17,32.54,6,11.14,32.79
2,10.89,43.16,1,10.93,43.06,5,10.90,43.54,3,10.88,43.28,4,10.87,43.41,6,10.87,43.66
2,10.89,54.05,1,10.90,53.96,5,10.91,54.45,3,10.92,54.20,4,10.90,54.31,6,10.93,54.59
2,10.20,1:04.25,1,10.21,1:04.17,5,10.12,1:04.57,3,10.13,1:04.33,4,10.13,1:04.44,6,10.12,1:04.71
2,10.24,1:14.49,1,10.20,1:14.37,5,10.19,1:14.76,3,10.24,1:14.57,4,10.23,1:14.67,6,10.16,1:14.87
2,10.07,1:24.56,1,10.08,1:24.45,5,10.11,1:24.87,3,10.08,1:24.65,4,10.09,1:24.76,6,10.12,1:24.99
2,10.02,1:34.58,1,10.06,1:34.51,5,10.00,1:34.87,3,10.00,1:34.65,4,10.02,1:34.78,6,9.98,1:34.97
2,9.75,1:44.33,1,9.74,1:44.25,5,9.76,1:44.63,3,9.76,1:44.41,4,9.73,1:44.51,6,9.71,1:44.68
2,9.46,1:53.79,1,9.46,1:53.71,6,9.54,1:54.17,3,9.47,1:53.88,5,9.53,1:54.04,4,9.26,1:53.94
2,9.44,2:03.23,4,9.68,2:03.39,6,9.47,2:03.64,1,9.28,2:03.16,5,9.45,2:03.49,3,9.30,2:03.24
3,9.46,2:12.69,4,9.36,2:12.75,6,9.64,2:13.28,1,9.37,2:12.53,5,9.70,2:13.19,2,9.36,2:12.60
4,10.15,2:22.832,2,9.62,2:22.363,6,9.95,2:23.224,1,9.78,2:22.304,5,10.00,2:23.185,3,10.02,2:22.614
