Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Kyle UYEHARA POSITION,Kyle UYEHARA LAP TIME,Kyle UYEHARA ELAPSED TIME
4,13.54,13.54,2,13.34,13.34,5,13.74,13.74,1,13.32,13.32,3,13.45,13.45
4,10.11,23.65,2,10.16,23.50,5,10.02,23.76,1,10.06,23.38,3,10.11,23.56
5,10.29,33.94,2,10.26,33.76,3,10.09,33.85,1,10.26,33.64,4,10.29,33.85
5,10.00,43.94,2,9.74,43.50,1,9.55,43.40,3,9.97,43.61,4,9.88,43.73
5,9.20,53.14,2,9.09,52.59,1,9.10,52.50,3,9.07,52.68,4,9.08,52.81
5,9.36,1:02.50,2,9.24,1:01.83,1,9.23,1:01.73,3,9.23,1:01.91,4,9.20,1:02.01
4,10.03,1:12.53,2,9.25,1:11.08,1,9.27,1:11.00,5,35.99,1:37.90,3,9.20,1:11.21
4,10.59,1:23.12,2,9.64,1:20.72,1,9.61,1:20.61,5,19.66,1:57.56,3,9.62,1:20.83
4,10.91,1:34.022,2,9.51,1:30.229,1,9.54,1:30.146,5,18.88,2:16.431,3,9.49,1:30.315
