Denys IOFIN POSITION,Denys IOFIN LAP TIME,Denys IOFIN ELAPSED TIME,PROOST Enzo POSITION,PROOST Enzo LAP TIME,PROOST Enzo ELAPSED TIME,SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME,VAZHAYIL PEEDIKAYIL Muhammed Sinan POSITION,VAZHAYIL PEEDIKAYIL Muhammed Sinan LAP TIME,VAZHAYIL PEEDIKAYIL Muhammed Sinan ELAPSED TIME,Mateusz MIKOLAJUK POSITION,Mateusz MIKOLAJUK LAP TIME,Mateusz MIKOLAJUK ELAPSED TIME
2,8.89,8.89,1,8.74,,4,9.32,9.32,6,9.85,9.85,5,9.71,9.71,3,9.07,9.07
2,11.54,20.43,1,11.59,,4,11.34,20.66,5,10.95,20.80,6,11.41,21.12,3,11.47,20.54
2,11.20,31.63,1,11.22,,4,11.19,31.85,5,11.20,32.00,6,11.06,32.18,3,11.18,31.72
2,11.51,43.14,1,11.46,,4,11.63,43.48,5,11.58,43.58,6,11.58,43.76,3,11.59,43.31
2,10.57,53.71,1,10.61,,4,10.44,53.92,5,10.48,54.06,6,11.02,54.78,3,10.49,53.80
2,11.07,1:04.78,1,11.07,,3,10.91,1:04.83,5,10.87,1:04.93,6,11.67,1:06.45,4,11.06,1:04.86
4,9.98,1:14.76,5,10.19,,2,9.67,1:14.50,1,9.51,1:14.44,6,12.38,1:18.83,3,9.81,1:14.67
4,9.48,1:24.24,6,16.65,,2,9.49,1:23.99,1,9.50,1:23.94,5,12.67,1:31.50,3,9.41,1:24.08
4,9.71,1:33.95,6,15.52,,2,9.72,1:33.71,1,9.67,1:33.61,5,13.48,1:44.98,3,9.72,1:33.80
4,9.69,1:43.64,6,11.45,,2,9.66,1:43.37,1,9.67,1:43.28,5,12.68,1:57.66,3,9.68,1:43.48
4,9.80,1:53.44,5,11.47,,2,9.38,1:52.75,1,9.38,1:52.66,6,12.85,2:10.51,3,9.35,1:52.83
4,9.98,2:03.42,5,13.03,,2,9.12,2:01.87,1,9.12,2:01.78,6,13.03,2:23.54,3,9.14,2:01.97
4,10.38,2:13.80,5,12.02,,2,9.12,2:10.99,1,9.14,2:10.92,6,13.53,2:37.07,3,9.22,2:11.19
4,10.57,2:24.37,5,16.40,,2,9.16,2:20.15,1,9.22,2:20.14,6,16.83,2:53.90,3,9.43,2:20.62
